accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
JQ970480.1	JQ970480	CHN0802D	China			China	Dog 	Canis familiaris	2008.0	Asian	SEA2a	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA2a	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Wang,L.H.,Tao,X.Y.,Liang,G.D.	2008
GU358653.1	GU358653	GX4	China			China	Dog 	Canis familiaris	1994.0	Asian	SEA2a		Li et al., unpublished	Complete genome	Troupin	Asian SEA2a	Asia	China		Canis lupus familiaris	He,C.Q.,Meng,S.L.,Yan,H.Y.,Ding,N.Z.,He,H.B.,Yan,J.X.,Xu,G.L.,Li,M.S.,Lin,X.G.,Xin,Y.J.,Jie,W.	1994
JQ730682.1	JQ730682	CYN1009D	China			China	Dog 	Canis familiaris	2010.0	Asian	SEA3	Original brain	Troupin	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Zhang,J.,Zhang,H.L.,Tao,X.Y.,Li,H.,Tang,Q.,Jiang,X.Y.,Liang,G.D.,Wang,L.H.	2010
KX148200.1	KX148200	88008ETH	Ethiopia			Ethiopia	Dog 	Canis familiaris	1988.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1988
AF369331	AF369331	V667.DG	Ethiopia			Ethiopia	Dog 	Canis familiaris		Cosmopolitan	AF1a		[18]	P	Troupin	Cosmopolitan AF1a						
KX148268.1	KX148268	90001FRA	French Guiana			French Guiana	Dog 	Canis familiaris	1990.0	Bats	DR	Original brain	This study	Complete genome	Kuzmin	Bats DR	South America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1990
KX148202.1	KX148202	95049GAB	Gabon			Gabon	Dog 	Canis familiaris	1995.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1995
KX148105.1	KX148105	86083GRO	Greenland			Greenland	Dog 	Canis familiaris	1980.0	Arctic	A	Mouse	This study	Complete genome	Kuzmin	Arctic A	North America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1980
U22487	U22487	8660GUI	Guinea			Guinea	Dog 	Canis familiaris	1986.0	Africa-2			[7]	N	Troupin							
KX148244.1	KX148244	90024GUI	Guinea			Guinea	Dog 	Canis familiaris	1990.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1990
AF325484	AF325484	GUI1-DG	Guinea			Guinea	Dog 	Canis familiaris	1986.0	Africa-2			[19]	G	Troupin							
AF369309	AF369309	I15.DG	India			India	Dog 	Canis familiaris	1995.0	Indian-Sub			[18]	P	Troupin							
KX148266.1	KX148266	03003INDO	Indonesia			Indonesia	Dog 	Canis familiaris	2003.0	Asian	SEA1b	Mouse	This study	Complete genome	Kuzmin	Asian SEA1b	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2003
AF369311	AF369311	Ir5.DG	Iran			Iran	Dog 	Canis familiaris	1993.0	Cosmopolitan	CA1		[18]	P	Troupin	Cosmopolitan CA1						
KX148189.1	KX148189	86081IRA	Iran			Iran	Dog 	Canis familiaris	1985.0	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1985
KF154998.1	KF154998	RV2324	Israel			Israel	Dog 	Canis familiaris	1950.0	Cosmopolitan	AF4			Complete genome	Kuzmin	Cosmopolitan AF4	Asia			Canis lupus familiaris	Marston,D.A.,McElhinney,L.M.,Ellis,R.J.,Horton,D.L.,Wise,E.L.,Leech,S.L.,David,D.,de Lamballerie,X.,Fooks,A.R.	1950
KX148178.1	KX148178	96306ISR	Israel			Israel	Dog 	Canis familiaris	1996.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
KX148182.1	KX148182	96307ISR	Israel			Israel	Dog 	Canis familiaris	1996.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
KX148181.1	KX148181	96312ISR	Israel			Israel	Dog 	Canis familiaris	1996.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
KX148192.1	KX148192	93033ISR	Israel			Israel	Dog 	Canis familiaris	1993.0	Cosmopolitan	ME1b	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1b	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148235.1	KX148235	01007CI	Côte d'Ivoire			Côte d'Ivoire	Dog 	Canis familiaris	2001.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2001
KX148232.1	KX148232	92037CI	Côte d'Ivoire			Côte d'Ivoire	Dog 	Canis familiaris	1992.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1992
KX148233.1	KX148233	92038CI	Côte d'Ivoire			Côte d'Ivoire	Dog 	Canis familiaris	1992.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1992
KX148258.1	KX148258	02003LAO	Laos			Laos	Dog 	Canis familiaris	2002.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2002
KX148256.1	KX148256	02004LAO	Laos			Laos	Dog 	Canis familiaris	2002.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2002
KX148257.1	KX148257	02005LAO	Laos			Laos	Dog 	Canis familiaris	2002.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2002
KX148255.1	KX148255	99010LAO	Laos			Laos	Dog 	Canis familiaris	1999.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1999
EU086152	EU086152	9910LAO	Laos			Laos	Dog 	Canis familiaris	1999.0	Asian	SEA3		[10]	G	Troupin	Asian SEA3						
AB981663.1	AB981663	Lao2	Laos			Laos	Dog 	Canis familiaris	2011.0	Asian	SEA3	Original brain		Complete genome	Kuzmin	Asian SEA3	Asia	Laos		Canis lupus	Ahmed,K.,Phommachanh,P.,Vorachith,P.,Matsumoto,T.,Lamaningao,P.,Mori,D.,Takaki,M.,Douangngeun,B.,Khambounheuang,B.,Nishizono,A.	2011
AB981664.1	AB981664	Lao4	Laos			Laos	Dog 	Canis familiaris	2011.0	Asian	SEA3	Original brain		Complete genome	Kuzmin	Asian SEA3	Asia	Laos		Canis lupus	Ahmed,K.,Phommachanh,P.,Vorachith,P.,Matsumoto,T.,Lamaningao,P.,Mori,D.,Takaki,M.,Douangngeun,B.,Khambounheuang,B.,Nishizono,A.	2011
KX148209.1	KX148209	04033MAD	Madagascar			Madagascar	Dog 	Canis familiaris	2004.0	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1c	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2004
KX148211.1	KX148211	86046MAD	Madagascar			Madagascar	Dog 	Canis familiaris	1986.0	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1c	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1986
AF325478	AF325478	MAD1-DG	Madagascar			Madagascar	Dog 	Canis familiaris	1985.0	Cosmopolitan	AF1c		[19]	G	Troupin	Cosmopolitan AF1c						
AF325467	AF325467	MOR2-DG	Morocco			Morocco	Dog 	Canis familiaris	1987.0	Cosmopolitan	AF1a		[19]	G	Troupin	Cosmopolitan AF1a						
KX148236.1	KX148236	93011MAU	Mauritania			Mauritania	Dog 	Canis familiaris	1993.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148237.1	KX148237	93012MAU	Mauritania			Mauritania	Dog 	Canis familiaris	1993.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148110.1	KX148110	91014MEX	Mexico			Mexico	Dog 	Canis familiaris	1991.0	Cosmopolitan	AM2a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AM2a	North America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1991
KX148111.1	KX148111	91015MEX	Mexico			Mexico	Dog 	Canis familiaris	1991.0	Cosmopolitan	AM2a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AM2a	North America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1991
KX148102.1	KX148102	91026MEX	Mexico			Mexico	Dog 	Canis familiaris	1991.0	Cosmopolitan	AM2a	Mouse	This study	Complete genome	Kuzmin	Cosmopolitan AM2a	North America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1991
HQ450386.1	HQ450386	DRV_Mexico	Mexico			Mexico	Dog 	Canis familiaris		Cosmopolitan	AM2a	Mouse		Complete genome	Kuzmin	Cosmopolitan AM2a	North America			Canis lupus familiaris	Zhang,G.,Fu,Z.F.,Yu,F.,Yan,J.,Zhang,Y.,Guo,X.,Xiao,S.,Fang,L.,Song,Y.,Chen,H.	
AF325477	AF325477	MEX1-DG	Mexico			Mexico	Dog 	Canis familiaris	1991.0	Cosmopolitan	AM2a		[19]	G	Troupin	Cosmopolitan AM2a						
KX148195.1	KX148195	04031MAR	Morocco			Morocco	Dog 	Canis familiaris	2004.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2004
KX148193.1	KX148193	08342MAR	Morocco			Morocco	Dog 	Canis familiaris	2008.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2008
KX148194.1	KX148194	89017MAR	Morocco			Morocco	Dog 	Canis familiaris	1989.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1989
KX148196.1	KX148196	90016MAR	Morocco			Morocco	Dog 	Canis familiaris	1990.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1990
KX148203.1	KX148203	86031MOZ	Mozambique			Mozambique	Dog 	Canis familiaris	1986.0	Cosmopolitan	AF1b	Mouse	This study	Complete genome	Kuzmin	Cosmopolitan AF1b	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1986
KX148247.1	KX148247	99009BIR	Myanmar			Myanmar	Dog 	Canis familiaris	1999.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1999
KX148248.1	KX148248	99015BIR	Myanmar			Myanmar	Dog 	Canis familiaris	1999.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1999
KX148204.1	KX148204	92030NAM	Namibia			Namibia	Dog 	Canis familiaris	1992.0	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1b	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1992
KX148228.1	KX148228	99001NEP	Nepal			Nepal	Dog 	Canis familiaris	1998.0	Arctic	AL3	Original brain	This study	Complete genome	Kuzmin	Arctic AL3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1998
AF369317	AF369317	V121.DG	Nepal			Nepal	Dog 	Canis familiaris	1989.0	Arctic	AL3		[18]	P	Troupin	Arctic AL3						
AF325489	AF325489	NEP1-DG	Nepal			Nepal	Dog 	Canis familiaris	1989.0	Indian-Sub			[19]	G	Troupin							
KX148231.1	KX148231	90010NIG	Niger			Niger	Dog 	Canis familiaris	1990.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1990
KX148229.1	KX148229	90012NIG	Niger			Niger	Dog 	Canis familiaris	1990.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1990
AF325480	AF325480	NIG1-DG	Niger			Niger	Dog 	Canis familiaris	1990.0	Africa-2			[19]	G	Troupin							
KC196743.1	KC196743	DRV_NG11	Nigeria			Nigeria	Dog 	Canis familiaris	2011.0	Africa-2		Original brain		Complete genome	Kuzmin		Africa			Canis lupus familiaris	Zhou,M.,Zhou,Z.,Kia,G.S.,Gnanadurai,C.W.,Leyson,C.M.,Umoh,J.U.,Kwaga,J.P.,Kazeem,H.M.,Fu,Z.F.,Kia,G.S.N.	2011
AF369326	AF369326	V461.DG	Nigeria			Nigeria	Dog 	Canis familiaris	1996.0	Africa-2			[18]	P	Troupin							
KX148201.1	KX148201	86003BRE	Nigeria			Nigeria	Dog 	Canis familiaris	1986.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1986
AF369329	AF369329	V466.DG	Nigeria			Nigeria	Dog 	Canis familiaris	1996.0	Cosmopolitan	Vac2		[18]	P	Troupin	Cosmopolitan Vac2						
AF369315	AF369315	P1.DG	Paraguay			Paraguay	Dog 	Canis familiaris	1994.0	Cosmopolitan	AM3b		[18]	P	Troupin	Cosmopolitan AM3b						
EU086205	EU086205	04030PHI	Philippines			Philippines	Dog 	Canis familiaris	2004.0	Asian	SEA4		[10]	N	Troupin	Asian SEA4						
KX148260.1	KX148260	04030PHI	Philippines			Philippines	Dog 	Canis familiaris	2004.0	Asian	SEA4	Mouse	This study	Complete genome	Kuzmin	Asian SEA4	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2004
KX148259.1	KX148259	94272PHI	Philippines			Philippines	Dog 	Canis familiaris	1994.0	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin	Asian SEA4	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1994
KX148263.1	KX148263	94275PHI	Philippines			Philippines	Dog 	Canis familiaris	1994.0	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin	Asian SEA4	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1994
KX148262.1	KX148262	94278PHI	Philippines			Philippines	Dog 	Canis familiaris	1994.0	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin	Asian SEA4	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1994
JQ944705.1	JQ944705	1350KRA	Russia			Russia	Dog 	Canis familiaris	2008.0	Cosmopolitan	CA1	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin	Cosmopolitan CA1	Europe			Canis lupus familiaris	Chupin,S.,Chernyshova,E.,Metlin,A.	2008
JQ944706.1	JQ944706	1352KRA	Russia			Russia	Dog 	Canis familiaris	2008.0	Cosmopolitan	CA2	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin	Cosmopolitan CA2	Europe			Canis lupus familiaris	Chupin,S.,Chernyshova,E.,Metlin,A.	2008
KX148205.1	KX148205	94289RWA	Rwanda			Rwanda	Dog 	Canis familiaris	1994.0	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1b	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1994
KX148238.1	KX148238	93003SEN	Senegal			Senegal	Dog 	Canis familiaris	1991.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1991
KX148239.1	KX148239	93005SEN	Senegal			Senegal	Dog 	Canis familiaris	1992.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1992
KX148198.1	KX148198	93128SOM	Somalia			Somalia	Dog 	Canis familiaris	1993.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
AF369297	AF369297	V250.CD	South Africa			South Africa	Dog 	Canis familiaris	1994.0	Cosmopolitan	AF1b		[18]	P	Troupin	Cosmopolitan AF1b						
KF154999.1	KF154999	RV2417	Sri Lanka			Sri Lanka	Dog 	Canis familiaris	2008.0	Indian-Sub		Original brain		Complete genome	Kuzmin		Europe			Canis lupus familiaris	Marston,D.A.,McElhinney,L.M.,Ellis,R.J.,Horton,D.L.,Wise,E.L.,Leech,S.L.,David,D.,de Lamballerie,X.,Fooks,A.R.	2008
AF369320	AF369320	V113.DG	Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1986.0	Indian-Sub			[18]	P	Troupin							
AF369321	AF369321	V118.DG	Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1986.0	Indian-Sub			[18]	P	Troupin							
AB041966	AB041966		Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1996.0	Indian-Sub			[8]	N	Troupin							
AY138549	AY138549		Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1986.0	Indian-Sub			[9]	N	Troupin							
U22648	U22648	9224TAN	Tanzania			Tanzania	Dog 	Canis familiaris	1992.0	Cosmopolitan	AF1b		[7]	N	Troupin	Cosmopolitan AF1b						
KX148206.1	KX148206	96013TAN	Tanzania			Tanzania	Dog 	Canis familiaris	1996.0	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1b	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
KF155002.1	KF155002	RV2772	Tanzania			Tanzania	Dog 	Canis familiaris	2009.0	Cosmopolitan	AF1b	Original brain		Complete genome	Kuzmin	Cosmopolitan AF1b	Africa			Canis lupus familiaris	Marston,D.A.,McElhinney,L.M.,Ellis,R.J.,Horton,D.L.,Wise,E.L.,Leech,S.L.,David,D.,de Lamballerie,X.,Fooks,A.R.	2010
AF369333	AF369333	V670.DG	Tanzania			Tanzania	Dog 	Canis familiaris		Cosmopolitan	AF1b		[18]	P	Troupin	Cosmopolitan AF1b						
JN786877.1	JN786877	QS_05	Thailand			Thailand	Dog 	Canis familiaris		Asian	SEA3	Mouse		Complete genome	Kuzmin	Asian SEA3	Asia				Virojanapirom,P.,Khawplod,P.,Sawangvaree,A.,Wacharapluesadee,S.,Hemachudha,T.,Yamada,K.,Morimoto,K.,Nishizono,A.,Hamachudha,T.	
AF369322	AF369322	V027.DG	Tunisia			Tunisia	Dog 	Canis familiaris	1988.0	Cosmopolitan	AF1a		[18]	P	Troupin	Cosmopolitan AF1a						
KX148164.1	KX148164	93100TUR	Turkey			Turkey	Dog 	Canis familiaris	1993.0	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME2	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148166.1	KX148166	94001TUR	Turkey			Turkey	Dog 	Canis familiaris	1993.0	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME2	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148162.1	KX148162	94002TUR	Turkey			Turkey	Dog 	Canis familiaris	1993.0	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME2	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148167.1	KX148167	94005TUR	Turkey			Turkey	Dog 	Canis familiaris	1993.0	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME2	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
